Jahr,Alter,Geschlecht,Anzahl,Kategorie
2017,0,männlich,2573,Bestand
2017,0,weiblich,2402,Bestand
2017,1,männlich,2570,Bestand
2017,1,weiblich,2332,Bestand
2017,2,männlich,2420,Bestand
2017,2,weiblich,2187,Bestand
2017,3,männlich,2259,Bestand
2017,3,weiblich,2215,Bestand
2017,4,männlich,2085,Bestand
2017,4,weiblich,2059,Bestand
2017,5,männlich,2023,Bestand
2017,5,weiblich,1860,Bestand
2017,6,männlich,1977,Bestand
2017,6,weiblich,1833,Bestand
2017,7,männlich,1882,Bestand
2017,7,weiblich,1812,Bestand
2017,8,männlich,1829,Bestand
2017,8,weiblich,1815,Bestand
2017,9,männlich,1759,Bestand
2017,9,weiblich,1589,Bestand
2017,10,männlich,1695,Bestand
2017,10,weiblich,1528,Bestand
2017,11,männlich,1561,Bestand
2017,11,weiblich,1555,Bestand
2017,12,männlich,1560,Bestand
2017,12,weiblich,1498,Bestand
2017,13,männlich,1416,Bestand
2017,13,weiblich,1439,Bestand
2017,14,männlich,1439,Bestand
2017,14,weiblich,1297,Bestand
2017,15,männlich,1362,Bestand
2017,15,weiblich,1348,Bestand
2017,16,männlich,1367,Bestand
2017,16,weiblich,1268,Bestand
2017,17,männlich,1492,Bestand
2017,17,weiblich,1356,Bestand
2017,18,männlich,1597,Bestand
2017,18,weiblich,1344,Bestand
2017,19,männlich,1667,Bestand
2017,19,weiblich,1636,Bestand
2017,20,männlich,2020,Bestand
2017,20,weiblich,1884,Bestand
2017,21,männlich,2387,Bestand
2017,21,weiblich,2202,Bestand
2017,22,männlich,2725,Bestand
2017,22,weiblich,2438,Bestand
2017,23,männlich,2891,Bestand
2017,23,weiblich,2897,Bestand
2017,24,männlich,3283,Bestand
2017,24,weiblich,3314,Bestand
2017,25,männlich,3767,Bestand
2017,25,weiblich,3653,Bestand
2017,26,männlich,4206,Bestand
2017,26,weiblich,4195,Bestand
2017,27,männlich,4613,Bestand
2017,27,weiblich,4514,Bestand
2017,28,männlich,4784,Bestand
2017,28,weiblich,4669,Bestand
2017,29,männlich,4957,Bestand
2017,29,weiblich,4910,Bestand
2017,30,männlich,4991,Bestand
2017,30,weiblich,4859,Bestand
2017,31,männlich,4861,Bestand
2017,31,weiblich,4769,Bestand
2017,32,männlich,4795,Bestand
2017,32,weiblich,4641,Bestand
2017,33,männlich,4887,Bestand
2017,33,weiblich,4593,Bestand
2017,34,männlich,4666,Bestand
2017,34,weiblich,4321,Bestand
2017,35,männlich,4598,Bestand
2017,35,weiblich,4304,Bestand
2017,36,männlich,4534,Bestand
2017,36,weiblich,4098,Bestand
2017,37,männlich,4525,Bestand
2017,37,weiblich,4150,Bestand
2017,38,männlich,4163,Bestand
2017,38,weiblich,3871,Bestand
2017,39,männlich,4019,Bestand
2017,39,weiblich,3670,Bestand
2017,40,männlich,3894,Bestand
2017,40,weiblich,3474,Bestand
2017,41,männlich,3660,Bestand
2017,41,weiblich,3340,Bestand
2017,42,männlich,3448,Bestand
2017,42,weiblich,3217,Bestand
2017,43,männlich,3474,Bestand
2017,43,weiblich,3027,Bestand
2017,44,männlich,3240,Bestand
2017,44,weiblich,2959,Bestand
2017,45,männlich,3265,Bestand
2017,45,weiblich,2829,Bestand
2017,46,männlich,3181,Bestand
2017,46,weiblich,2739,Bestand
2017,47,männlich,3244,Bestand
2017,47,weiblich,2673,Bestand
2017,48,männlich,3124,Bestand
2017,48,weiblich,2728,Bestand
2017,49,männlich,3082,Bestand
2017,49,weiblich,2686,Bestand
2017,50,männlich,3015,Bestand
2017,50,weiblich,2727,Bestand
2017,51,männlich,2940,Bestand
2017,51,weiblich,2683,Bestand
2017,52,männlich,2893,Bestand
2017,52,weiblich,2579,Bestand
2017,53,männlich,2900,Bestand
2017,53,weiblich,2555,Bestand
2017,54,männlich,2682,Bestand
2017,54,weiblich,2424,Bestand
2017,55,männlich,2498,Bestand
2017,55,weiblich,2364,Bestand
2017,56,männlich,2336,Bestand
2017,56,weiblich,2256,Bestand
2017,57,männlich,2258,Bestand
2017,57,weiblich,2290,Bestand
2017,58,männlich,2102,Bestand
2017,58,weiblich,2142,Bestand
2017,59,männlich,1989,Bestand
2017,59,weiblich,2097,Bestand
2017,60,männlich,1936,Bestand
2017,60,weiblich,1929,Bestand
2017,61,männlich,1918,Bestand
2017,61,weiblich,1932,Bestand
2017,62,männlich,1717,Bestand
2017,62,weiblich,1829,Bestand
2017,63,männlich,1690,Bestand
2017,63,weiblich,1828,Bestand
2017,64,männlich,1553,Bestand
2017,64,weiblich,1827,Bestand
2017,65,männlich,1556,Bestand
2017,65,weiblich,1802,Bestand
2017,66,männlich,1445,Bestand
2017,66,weiblich,1683,Bestand
2017,67,männlich,1482,Bestand
2017,67,weiblich,1656,Bestand
2017,68,männlich,1329,Bestand
2017,68,weiblich,1582,Bestand
2017,69,männlich,1348,Bestand
2017,69,weiblich,1565,Bestand
2017,70,männlich,1352,Bestand
2017,70,weiblich,1614,Bestand
2017,71,männlich,1325,Bestand
2017,71,weiblich,1558,Bestand
2017,72,männlich,1273,Bestand
2017,72,weiblich,1541,Bestand
2017,73,männlich,1198,Bestand
2017,73,weiblich,1565,Bestand
2017,74,männlich,1171,Bestand
2017,74,weiblich,1468,Bestand
2017,75,männlich,1116,Bestand
2017,75,weiblich,1464,Bestand
2017,76,männlich,1004,Bestand
2017,76,weiblich,1423,Bestand
2017,77,männlich,900,Bestand
2017,77,weiblich,1244,Bestand
2017,78,männlich,868,Bestand
2017,78,weiblich,1245,Bestand
2017,79,männlich,795,Bestand
2017,79,weiblich,1224,Bestand
2017,80,männlich,784,Bestand
2017,80,weiblich,1217,Bestand
2017,81,männlich,788,Bestand
2017,81,weiblich,1194,Bestand
2017,82,männlich,690,Bestand
2017,82,weiblich,1226,Bestand
2017,83,männlich,725,Bestand
2017,83,weiblich,1113,Bestand
2017,84,männlich,594,Bestand
2017,84,weiblich,1128,Bestand
2017,85,männlich,537,Bestand
2017,85,weiblich,1029,Bestand
2017,86,männlich,482,Bestand
2017,86,weiblich,1024,Bestand
2017,87,männlich,482,Bestand
2017,87,weiblich,981,Bestand
2017,88,männlich,403,Bestand
2017,88,weiblich,909,Bestand
2017,89,männlich,314,Bestand
2017,89,weiblich,769,Bestand
2017,90,männlich,298,Bestand
2017,90,weiblich,672,Bestand
2017,91,männlich,212,Bestand
2017,91,weiblich,596,Bestand
2017,92,männlich,181,Bestand
2017,92,weiblich,503,Bestand
2017,93,männlich,158,Bestand
2017,93,weiblich,390,Bestand
2017,94,männlich,100,Bestand
2017,94,weiblich,308,Bestand
2017,95,männlich,70,Bestand
2017,95,weiblich,257,Bestand
2017,96,männlich,58,Bestand
2017,96,weiblich,189,Bestand
2017,97,männlich,35,Bestand
2017,97,weiblich,131,Bestand
2017,98,männlich,23,Bestand
2017,98,weiblich,85,Bestand
2017,99,männlich,12,Bestand
2017,99,weiblich,39,Bestand
2017,100,männlich,17,Bestand
2017,100,weiblich,88,Bestand
1894,0,männlich,1429,Szenarien
1894,1,männlich,1172,Szenarien
1894,2,männlich,1127,Szenarien
1894,3,männlich,1054,Szenarien
1894,4,männlich,1002,Szenarien
1894,5,männlich,965,Szenarien
1894,6,männlich,936,Szenarien
1894,7,männlich,956,Szenarien
1894,8,männlich,934,Szenarien
1894,9,männlich,908,Szenarien
1894,10,männlich,896,Szenarien
1894,11,männlich,904,Szenarien
1894,12,männlich,844,Szenarien
1894,13,männlich,866,Szenarien
1894,14,männlich,983,Szenarien
1894,15,männlich,1051,Szenarien
1894,16,männlich,1307,Szenarien
1894,17,männlich,1363,Szenarien
1894,18,männlich,1579,Szenarien
1894,19,männlich,1631,Szenarien
1894,20,männlich,1599,Szenarien
1894,21,männlich,1533,Szenarien
1894,22,männlich,1495,Szenarien
1894,23,männlich,1484,Szenarien
1894,24,männlich,1465,Szenarien
1894,25,männlich,1416,Szenarien
1894,26,männlich,1395,Szenarien
1894,27,männlich,1337,Szenarien
1894,28,männlich,1364,Szenarien
1894,29,männlich,1135,Szenarien
1894,30,männlich,1198,Szenarien
1894,31,männlich,1148,Szenarien
1894,32,männlich,1027,Szenarien
1894,33,männlich,995,Szenarien
1894,34,männlich,1015,Szenarien
1894,35,männlich,975,Szenarien
1894,36,männlich,933,Szenarien
1894,37,männlich,923,Szenarien
1894,38,männlich,844,Szenarien
1894,39,männlich,795,Szenarien
1894,40,männlich,839,Szenarien
1894,41,männlich,744,Szenarien
1894,42,männlich,794,Szenarien
1894,43,männlich,811,Szenarien
1894,44,männlich,721,Szenarien
1894,45,männlich,672,Szenarien
1894,46,männlich,620,Szenarien
1894,47,männlich,567,Szenarien
1894,48,männlich,605,Szenarien
1894,49,männlich,574,Szenarien
1894,50,männlich,547,Szenarien
1894,51,männlich,539,Szenarien
1894,52,männlich,513,Szenarien
1894,53,männlich,505,Szenarien
1894,54,männlich,459,Szenarien
1894,55,männlich,409,Szenarien
1894,56,männlich,405,Szenarien
1894,57,männlich,340,Szenarien
1894,58,männlich,340,Szenarien
1894,59,männlich,318,Szenarien
1894,60,männlich,278,Szenarien
1894,61,männlich,250,Szenarien
1894,62,männlich,232,Szenarien
1894,63,männlich,213,Szenarien
1894,64,männlich,197,Szenarien
1894,65,männlich,198,Szenarien
1894,66,männlich,165,Szenarien
1894,67,männlich,162,Szenarien
1894,68,männlich,159,Szenarien
1894,69,männlich,118,Szenarien
1894,70,männlich,130,Szenarien
1894,71,männlich,106,Szenarien
1894,72,männlich,85,Szenarien
1894,73,männlich,82,Szenarien
1894,74,männlich,70,Szenarien
1894,75,männlich,51,Szenarien
1894,76,männlich,44,Szenarien
1894,77,männlich,44,Szenarien
1894,78,männlich,30,Szenarien
1894,79,männlich,32,Szenarien
1894,80,männlich,22,Szenarien
1894,81,männlich,16,Szenarien
1894,82,männlich,10,Szenarien
1894,83,männlich,7,Szenarien
1894,84,männlich,9,Szenarien
1894,85,männlich,5,Szenarien
1894,86,männlich,6,Szenarien
1894,87,männlich,6,Szenarien
1894,88,männlich,0,Szenarien
1894,89,männlich,1,Szenarien
1894,90,männlich,0,Szenarien
1894,91,männlich,1,Szenarien
1894,92,männlich,0,Szenarien
1894,93,männlich,0,Szenarien
1894,94,männlich,1,Szenarien
1894,95,männlich,0,Szenarien
1894,96,männlich,0,Szenarien
1894,97,männlich,0,Szenarien
1894,98,männlich,0,Szenarien
1894,99,männlich,0,Szenarien
1894,100,männlich,0,Szenarien
1894,0,weiblich,1513,Szenarien
1894,1,weiblich,1187,Szenarien
1894,2,weiblich,1168,Szenarien
1894,3,weiblich,1041,Szenarien
1894,4,weiblich,1047,Szenarien
1894,5,weiblich,986,Szenarien
1894,6,weiblich,1002,Szenarien
1894,7,weiblich,980,Szenarien
1894,8,weiblich,889,Szenarien
1894,9,weiblich,899,Szenarien
1894,10,weiblich,939,Szenarien
1894,11,weiblich,904,Szenarien
1894,12,weiblich,967,Szenarien
1894,13,weiblich,935,Szenarien
1894,14,weiblich,912,Szenarien
1894,15,weiblich,1025,Szenarien
1894,16,weiblich,1077,Szenarien
1894,17,weiblich,1231,Szenarien
1894,18,weiblich,1362,Szenarien
1894,19,weiblich,1445,Szenarien
1894,20,weiblich,1405,Szenarien
1894,21,weiblich,1517,Szenarien
1894,22,weiblich,1365,Szenarien
1894,23,weiblich,1360,Szenarien
1894,24,weiblich,1452,Szenarien
1894,25,weiblich,1338,Szenarien
1894,26,weiblich,1368,Szenarien
1894,27,weiblich,1302,Szenarien
1894,28,weiblich,1216,Szenarien
1894,29,weiblich,1183,Szenarien
1894,30,weiblich,1196,Szenarien
1894,31,weiblich,1115,Szenarien
1894,32,weiblich,1014,Szenarien
1894,33,weiblich,1072,Szenarien
1894,34,weiblich,1024,Szenarien
1894,35,weiblich,946,Szenarien
1894,36,weiblich,889,Szenarien
1894,37,weiblich,899,Szenarien
1894,38,weiblich,842,Szenarien
1894,39,weiblich,749,Szenarien
1894,40,weiblich,833,Szenarien
1894,41,weiblich,744,Szenarien
1894,42,weiblich,744,Szenarien
1894,43,weiblich,748,Szenarien
1894,44,weiblich,770,Szenarien
1894,45,weiblich,708,Szenarien
1894,46,weiblich,621,Szenarien
1894,47,weiblich,648,Szenarien
1894,48,weiblich,621,Szenarien
1894,49,weiblich,615,Szenarien
1894,50,weiblich,593,Szenarien
1894,51,weiblich,589,Szenarien
1894,52,weiblich,529,Szenarien
1894,53,weiblich,568,Szenarien
1894,54,weiblich,553,Szenarien
1894,55,weiblich,488,Szenarien
1894,56,weiblich,436,Szenarien
1894,57,weiblich,420,Szenarien
1894,58,weiblich,429,Szenarien
1894,59,weiblich,425,Szenarien
1894,60,weiblich,370,Szenarien
1894,61,weiblich,355,Szenarien
1894,62,weiblich,346,Szenarien
1894,63,weiblich,310,Szenarien
1894,64,weiblich,270,Szenarien
1894,65,weiblich,295,Szenarien
1894,66,weiblich,233,Szenarien
1894,67,weiblich,254,Szenarien
1894,68,weiblich,247,Szenarien
1894,69,weiblich,183,Szenarien
1894,70,weiblich,180,Szenarien
1894,71,weiblich,187,Szenarien
1894,72,weiblich,143,Szenarien
1894,73,weiblich,143,Szenarien
1894,74,weiblich,129,Szenarien
1894,75,weiblich,107,Szenarien
1894,76,weiblich,61,Szenarien
1894,77,weiblich,80,Szenarien
1894,78,weiblich,68,Szenarien
1894,79,weiblich,40,Szenarien
1894,80,weiblich,37,Szenarien
1894,81,weiblich,39,Szenarien
1894,82,weiblich,29,Szenarien
1894,83,weiblich,21,Szenarien
1894,84,weiblich,11,Szenarien
1894,85,weiblich,10,Szenarien
1894,86,weiblich,5,Szenarien
1894,87,weiblich,4,Szenarien
1894,88,weiblich,1,Szenarien
1894,89,weiblich,1,Szenarien
1894,90,weiblich,0,Szenarien
1894,91,weiblich,0,Szenarien
1894,92,weiblich,0,Szenarien
1894,93,weiblich,0,Szenarien
1894,94,weiblich,1,Szenarien
1894,95,weiblich,0,Szenarien
1894,96,weiblich,0,Szenarien
1894,97,weiblich,0,Szenarien
1894,98,weiblich,0,Szenarien
1894,99,weiblich,0,Szenarien
1894,100,weiblich,0,Szenarien
1910,0,männlich,1756,Szenarien
1910,1,männlich,1583,Szenarien
1910,2,männlich,1634,Szenarien
1910,3,männlich,1624,Szenarien
1910,4,männlich,1615,Szenarien
1910,5,männlich,1537,Szenarien
1910,6,männlich,1584,Szenarien
1910,7,männlich,1525,Szenarien
1910,8,männlich,1609,Szenarien
1910,9,männlich,1721,Szenarien
1910,10,männlich,1635,Szenarien
1910,11,männlich,1560,Szenarien
1910,12,männlich,1491,Szenarien
1910,13,männlich,1443,Szenarien
1910,14,männlich,1480,Szenarien
1910,15,männlich,1553,Szenarien
1910,16,männlich,1626,Szenarien
1910,17,männlich,1724,Szenarien
1910,18,männlich,1982,Szenarien
1910,19,männlich,2292,Szenarien
1910,20,männlich,1987,Szenarien
1910,21,männlich,2085,Szenarien
1910,22,männlich,2120,Szenarien
1910,23,männlich,2200,Szenarien
1910,24,männlich,2270,Szenarien
1910,25,männlich,2085,Szenarien
1910,26,männlich,2177,Szenarien
1910,27,männlich,2067,Szenarien
1910,28,männlich,1988,Szenarien
1910,29,männlich,1835,Szenarien
1910,30,männlich,1839,Szenarien
1910,31,männlich,1875,Szenarien
1910,32,männlich,1856,Szenarien
1910,33,männlich,1925,Szenarien
1910,34,männlich,1810,Szenarien
1910,35,männlich,1678,Szenarien
1910,36,männlich,1609,Szenarien
1910,37,männlich,1554,Szenarien
1910,38,männlich,1515,Szenarien
1910,39,männlich,1357,Szenarien
1910,40,männlich,1399,Szenarien
1910,41,männlich,1290,Szenarien
1910,42,männlich,1232,Szenarien
1910,43,männlich,1117,Szenarien
1910,44,männlich,1174,Szenarien
1910,45,männlich,1041,Szenarien
1910,46,männlich,1018,Szenarien
1910,47,männlich,1029,Szenarien
1910,48,männlich,972,Szenarien
1910,49,männlich,830,Szenarien
1910,50,männlich,843,Szenarien
1910,51,männlich,829,Szenarien
1910,52,männlich,731,Szenarien
1910,53,männlich,727,Szenarien
1910,54,männlich,652,Szenarien
1910,55,männlich,549,Szenarien
1910,56,männlich,550,Szenarien
1910,57,männlich,580,Szenarien
1910,58,männlich,528,Szenarien
1910,59,männlich,498,Szenarien
1910,60,männlich,461,Szenarien
1910,61,männlich,398,Szenarien
1910,62,männlich,418,Szenarien
1910,63,männlich,289,Szenarien
1910,64,männlich,298,Szenarien
1910,65,männlich,304,Szenarien
1910,66,männlich,286,Szenarien
1910,67,männlich,249,Szenarien
1910,68,männlich,245,Szenarien
1910,69,männlich,233,Szenarien
1910,70,männlich,192,Szenarien
1910,71,männlich,161,Szenarien
1910,72,männlich,147,Szenarien
1910,73,männlich,144,Szenarien
1910,74,männlich,98,Szenarien
1910,75,männlich,100,Szenarien
1910,76,männlich,82,Szenarien
1910,77,männlich,58,Szenarien
1910,78,männlich,62,Szenarien
1910,79,männlich,43,Szenarien
1910,80,männlich,30,Szenarien
1910,81,männlich,29,Szenarien
1910,82,männlich,30,Szenarien
1910,83,männlich,22,Szenarien
1910,84,männlich,15,Szenarien
1910,85,männlich,7,Szenarien
1910,86,männlich,9,Szenarien
1910,87,männlich,4,Szenarien
1910,88,männlich,4,Szenarien
1910,89,männlich,3,Szenarien
1910,90,männlich,2,Szenarien
1910,91,männlich,0,Szenarien
1910,92,männlich,1,Szenarien
1910,93,männlich,1,Szenarien
1910,94,männlich,1,Szenarien
1910,95,männlich,0,Szenarien
1910,96,männlich,0,Szenarien
1910,97,männlich,0,Szenarien
1910,98,männlich,0,Szenarien
1910,99,männlich,0,Szenarien
1910,100,männlich,0,Szenarien
1910,0,weiblich,1643,Szenarien
1910,1,weiblich,1547,Szenarien
1910,2,weiblich,1646,Szenarien
1910,3,weiblich,1496,Szenarien
1910,4,weiblich,1584,Szenarien
1910,5,weiblich,1543,Szenarien
1910,6,weiblich,1635,Szenarien
1910,7,weiblich,1559,Szenarien
1910,8,weiblich,1621,Szenarien
1910,9,weiblich,1644,Szenarien
1910,10,weiblich,1663,Szenarien
1910,11,weiblich,1553,Szenarien
1910,12,weiblich,1605,Szenarien
1910,13,weiblich,1479,Szenarien
1910,14,weiblich,1473,Szenarien
1910,15,weiblich,1460,Szenarien
1910,16,weiblich,1640,Szenarien
1910,17,weiblich,1757,Szenarien
1910,18,weiblich,1842,Szenarien
1910,19,weiblich,1946,Szenarien
1910,20,weiblich,1962,Szenarien
1910,21,weiblich,2222,Szenarien
1910,22,weiblich,2262,Szenarien
1910,23,weiblich,2202,Szenarien
1910,24,weiblich,2270,Szenarien
1910,25,weiblich,2103,Szenarien
1910,26,weiblich,2053,Szenarien
1910,27,weiblich,2055,Szenarien
1910,28,weiblich,2072,Szenarien
1910,29,weiblich,1945,Szenarien
1910,30,weiblich,1893,Szenarien
1910,31,weiblich,1884,Szenarien
1910,32,weiblich,1900,Szenarien
1910,33,weiblich,1928,Szenarien
1910,34,weiblich,1829,Szenarien
1910,35,weiblich,1755,Szenarien
1910,36,weiblich,1657,Szenarien
1910,37,weiblich,1599,Szenarien
1910,38,weiblich,1567,Szenarien
1910,39,weiblich,1363,Szenarien
1910,40,weiblich,1403,Szenarien
1910,41,weiblich,1423,Szenarien
1910,42,weiblich,1313,Szenarien
1910,43,weiblich,1286,Szenarien
1910,44,weiblich,1331,Szenarien
1910,45,weiblich,1157,Szenarien
1910,46,weiblich,1177,Szenarien
1910,47,weiblich,1096,Szenarien
1910,48,weiblich,1057,Szenarien
1910,49,weiblich,921,Szenarien
1910,50,weiblich,1060,Szenarien
1910,51,weiblich,901,Szenarien
1910,52,weiblich,934,Szenarien
1910,53,weiblich,772,Szenarien
1910,54,weiblich,839,Szenarien
1910,55,weiblich,676,Szenarien
1910,56,weiblich,714,Szenarien
1910,57,weiblich,687,Szenarien
1910,58,weiblich,658,Szenarien
1910,59,weiblich,658,Szenarien
1910,60,weiblich,624,Szenarien
1910,61,weiblich,598,Szenarien
1910,62,weiblich,522,Szenarien
1910,63,weiblich,509,Szenarien
1910,64,weiblich,453,Szenarien
1910,65,weiblich,479,Szenarien
1910,66,weiblich,411,Szenarien
1910,67,weiblich,403,Szenarien
1910,68,weiblich,387,Szenarien
1910,69,weiblich,361,Szenarien
1910,70,weiblich,347,Szenarien
1910,71,weiblich,291,Szenarien
1910,72,weiblich,240,Szenarien
1910,73,weiblich,200,Szenarien
1910,74,weiblich,195,Szenarien
1910,75,weiblich,174,Szenarien
1910,76,weiblich,148,Szenarien
1910,77,weiblich,108,Szenarien
1910,78,weiblich,121,Szenarien
1910,79,weiblich,96,Szenarien
1910,80,weiblich,65,Szenarien
1910,81,weiblich,70,Szenarien
1910,82,weiblich,53,Szenarien
1910,83,weiblich,37,Szenarien
1910,84,weiblich,26,Szenarien
1910,85,weiblich,20,Szenarien
1910,86,weiblich,11,Szenarien
1910,87,weiblich,14,Szenarien
1910,88,weiblich,5,Szenarien
1910,89,weiblich,8,Szenarien
1910,90,weiblich,7,Szenarien
1910,91,weiblich,3,Szenarien
1910,92,weiblich,1,Szenarien
1910,93,weiblich,1,Szenarien
1910,94,weiblich,1,Szenarien
1910,95,weiblich,0,Szenarien
1910,96,weiblich,0,Szenarien
1910,97,weiblich,0,Szenarien
1910,98,weiblich,0,Szenarien
1910,99,weiblich,0,Szenarien
1910,100,weiblich,0,Szenarien
1930,0,männlich,1511,Szenarien
1930,1,männlich,1464,Szenarien
1930,2,männlich,1411,Szenarien
1930,3,männlich,1356,Szenarien
1930,4,männlich,1381,Szenarien
1930,5,männlich,1319,Szenarien
1930,6,männlich,1322,Szenarien
1930,7,männlich,1335,Szenarien
1930,8,männlich,1345,Szenarien
1930,9,männlich,1342,Szenarien
1930,10,männlich,1398,Szenarien
1930,11,männlich,1130,Szenarien
1930,12,männlich,1100,Szenarien
1930,13,männlich,1143,Szenarien
1930,14,männlich,1132,Szenarien
1930,15,männlich,1140,Szenarien
1930,16,männlich,1509,Szenarien
1930,17,männlich,1712,Szenarien
1930,18,männlich,2024,Szenarien
1930,19,männlich,2178,Szenarien
1930,20,männlich,2569,Szenarien
1930,21,männlich,2717,Szenarien
1930,22,männlich,2892,Szenarien
1930,23,männlich,2936,Szenarien
1930,24,männlich,3027,Szenarien
1930,25,männlich,2843,Szenarien
1930,26,männlich,2866,Szenarien
1930,27,männlich,2719,Szenarien
1930,28,männlich,2775,Szenarien
1930,29,männlich,2615,Szenarien
1930,30,männlich,2596,Szenarien
1930,31,männlich,2496,Szenarien
1930,32,männlich,2294,Szenarien
1930,33,männlich,2175,Szenarien
1930,34,männlich,2151,Szenarien
1930,35,männlich,2122,Szenarien
1930,36,männlich,1991,Szenarien
1930,37,männlich,1812,Szenarien
1930,38,männlich,1798,Szenarien
1930,39,männlich,1815,Szenarien
1930,40,männlich,1627,Szenarien
1930,41,männlich,1697,Szenarien
1930,42,männlich,1606,Szenarien
1930,43,männlich,1591,Szenarien
1930,44,männlich,1642,Szenarien
1930,45,männlich,1573,Szenarien
1930,46,männlich,1604,Szenarien
1930,47,männlich,1566,Szenarien
1930,48,männlich,1537,Szenarien
1930,49,männlich,1422,Szenarien
1930,50,männlich,1448,Szenarien
1930,51,männlich,1445,Szenarien
1930,52,männlich,1466,Szenarien
1930,53,männlich,1404,Szenarien
1930,54,männlich,1314,Szenarien
1930,55,männlich,1263,Szenarien
1930,56,männlich,1187,Szenarien
1930,57,männlich,1105,Szenarien
1930,58,männlich,1052,Szenarien
1930,59,männlich,944,Szenarien
1930,60,männlich,951,Szenarien
1930,61,männlich,861,Szenarien
1930,62,männlich,754,Szenarien
1930,63,männlich,676,Szenarien
1930,64,männlich,670,Szenarien
1930,65,männlich,591,Szenarien
1930,66,männlich,514,Szenarien
1930,67,männlich,489,Szenarien
1930,68,männlich,480,Szenarien
1930,69,männlich,389,Szenarien
1930,70,männlich,352,Szenarien
1930,71,männlich,296,Szenarien
1930,72,männlich,297,Szenarien
1930,73,männlich,231,Szenarien
1930,74,männlich,207,Szenarien
1930,75,männlich,171,Szenarien
1930,76,männlich,151,Szenarien
1930,77,männlich,139,Szenarien
1930,78,männlich,130,Szenarien
1930,79,männlich,94,Szenarien
1930,80,männlich,73,Szenarien
1930,81,männlich,63,Szenarien
1930,82,männlich,48,Szenarien
1930,83,männlich,42,Szenarien
1930,84,männlich,29,Szenarien
1930,85,männlich,33,Szenarien
1930,86,männlich,23,Szenarien
1930,87,männlich,12,Szenarien
1930,88,männlich,6,Szenarien
1930,89,männlich,4,Szenarien
1930,90,männlich,5,Szenarien
1930,91,männlich,2,Szenarien
1930,92,männlich,3,Szenarien
1930,93,männlich,0,Szenarien
1930,94,männlich,2,Szenarien
1930,95,männlich,0,Szenarien
1930,96,männlich,0,Szenarien
1930,97,männlich,0,Szenarien
1930,98,männlich,0,Szenarien
1930,99,männlich,0,Szenarien
1930,100,männlich,0,Szenarien
1930,0,weiblich,1465,Szenarien
1930,1,weiblich,1387,Szenarien
1930,2,weiblich,1350,Szenarien
1930,3,weiblich,1320,Szenarien
1930,4,weiblich,1394,Szenarien
1930,5,weiblich,1393,Szenarien
1930,6,weiblich,1244,Szenarien
1930,7,weiblich,1305,Szenarien
1930,8,weiblich,1357,Szenarien
1930,9,weiblich,1314,Szenarien
1930,10,weiblich,1318,Szenarien
1930,11,weiblich,1120,Szenarien
1930,12,weiblich,1187,Szenarien
1930,13,weiblich,1112,Szenarien
1930,14,weiblich,1155,Szenarien
