Kategorie,AlterVSort,Anzahl,Herkunft,Geschlecht
2017,54,36,Schweiz,Weiblich
2017,54,33,Ausland,Weiblich
2017,54,58,Schweiz,Männlich
2017,54,75,Ausland,Männlich
1900,55,1781,Schweiz,Weiblich
1900,55,496,Ausland,Weiblich
1900,55,1654,Schweiz,Männlich
1900,55,707,Ausland,Männlich
1950,55,41,Schweiz,Weiblich
1950,55,41,Ausland,Weiblich
1950,55,57,Schweiz,Männlich
1950,55,69,Ausland,Männlich
2017,55,46,Schweiz,Weiblich
2017,55,37,Ausland,Weiblich
2017,55,48,Schweiz,Männlich
2017,55,59,Ausland,Männlich
1900,56,1799,Schweiz,Weiblich
1900,56,529,Ausland,Weiblich
1900,56,1648,Schweiz,Männlich
1900,56,669,Ausland,Männlich
1950,56,51,Schweiz,Weiblich
1950,56,27,Ausland,Weiblich
1950,56,68,Schweiz,Männlich
1950,56,68,Ausland,Männlich
2017,56,45,Schweiz,Weiblich
2017,56,29,Ausland,Weiblich
2017,56,28,Schweiz,Männlich
2017,56,50,Ausland,Männlich
1900,57,1740,Schweiz,Weiblich
1900,57,436,Ausland,Weiblich
1900,57,1521,Schweiz,Männlich
1900,57,619,Ausland,Männlich
1950,57,50,Schweiz,Weiblich
1950,57,30,Ausland,Weiblich
1950,57,53,Schweiz,Männlich
1950,57,48,Ausland,Männlich
2017,57,39,Schweiz,Weiblich
2017,57,38,Ausland,Weiblich
2017,57,40,Schweiz,Männlich
2017,57,47,Ausland,Männlich
1900,58,1712,Schweiz,Weiblich
1900,58,404,Ausland,Weiblich
1900,58,1500,Schweiz,Männlich
1900,58,540,Ausland,Männlich
1950,58,59,Schweiz,Weiblich
1950,58,33,Ausland,Weiblich
1950,58,48,Schweiz,Männlich
1950,58,53,Ausland,Männlich
2017,58,27,Schweiz,Weiblich
2017,58,26,Ausland,Weiblich
2017,58,36,Schweiz,Männlich
2017,58,32,Ausland,Männlich
1900,59,1586,Schweiz,Weiblich
1900,59,355,Ausland,Weiblich
1900,59,1492,Schweiz,Männlich
1900,59,524,Ausland,Männlich
1950,59,60,Schweiz,Weiblich
1950,59,31,Ausland,Weiblich
1950,59,40,Schweiz,Männlich
1950,59,47,Ausland,Männlich
2017,59,34,Schweiz,Weiblich
2017,59,22,Ausland,Weiblich
2017,59,37,Schweiz,Männlich
2017,59,27,Ausland,Männlich
1900,60,1603,Schweiz,Weiblich
1900,60,360,Ausland,Weiblich
1900,60,1498,Schweiz,Männlich
1900,60,479,Ausland,Männlich
1950,60,53,Schweiz,Weiblich
1950,60,19,Ausland,Weiblich
1950,60,48,Schweiz,Männlich
1950,60,68,Ausland,Männlich
2017,60,27,Schweiz,Weiblich
2017,60,18,Ausland,Weiblich
2017,60,24,Schweiz,Männlich
2017,60,31,Ausland,Männlich
1900,61,1516,Schweiz,Weiblich
1900,61,344,Ausland,Weiblich
1900,61,1321,Schweiz,Männlich
1900,61,445,Ausland,Männlich
1950,61,51,Schweiz,Weiblich
1950,61,27,Ausland,Weiblich
1950,61,55,Schweiz,Männlich
1950,61,30,Ausland,Männlich
2017,61,30,Schweiz,Weiblich
2017,61,18,Ausland,Weiblich
2017,61,28,Schweiz,Männlich
2017,61,22,Ausland,Männlich
1900,62,1513,Schweiz,Weiblich
1900,62,347,Ausland,Weiblich
1900,62,1356,Schweiz,Männlich
1900,62,414,Ausland,Männlich
1950,62,35,Schweiz,Weiblich
1950,62,28,Ausland,Weiblich
1950,62,50,Schweiz,Männlich
1950,62,30,Ausland,Männlich
2017,62,28,Schweiz,Weiblich
2017,62,19,Ausland,Weiblich
2017,62,26,Schweiz,Männlich
2017,62,20,Ausland,Männlich
1900,63,1537,Schweiz,Weiblich
1900,63,328,Ausland,Weiblich
1900,63,1266,Schweiz,Männlich
1900,63,353,Ausland,Männlich
1950,63,38,Schweiz,Weiblich
1950,63,19,Ausland,Weiblich
1950,63,43,Schweiz,Männlich
1950,63,27,Ausland,Männlich
2017,63,26,Schweiz,Weiblich
2017,63,15,Ausland,Weiblich
2017,63,32,Schweiz,Männlich
2017,63,15,Ausland,Männlich
1900,64,1552,Schweiz,Weiblich
1900,64,293,Ausland,Weiblich
1900,64,1322,Schweiz,Männlich
1900,64,320,Ausland,Männlich
1950,64,51,Schweiz,Weiblich
1950,64,33,Ausland,Weiblich
1950,64,35,Schweiz,Männlich
1950,64,31,Ausland,Männlich
2017,64,27,Schweiz,Weiblich
2017,64,11,Ausland,Weiblich
2017,64,29,Schweiz,Männlich
2017,64,19,Ausland,Männlich
1900,65,1462,Schweiz,Weiblich
1900,65,245,Ausland,Weiblich
1900,65,1194,Schweiz,Männlich
1900,65,297,Ausland,Männlich
1950,65,35,Schweiz,Weiblich
1950,65,20,Ausland,Weiblich
1950,65,47,Schweiz,Männlich
1950,65,55,Ausland,Männlich
2017,65,20,Schweiz,Weiblich
2017,65,13,Ausland,Weiblich
2017,65,30,Schweiz,Männlich
2017,65,15,Ausland,Männlich
1900,66,1410,Schweiz,Weiblich
1900,66,266,Ausland,Weiblich
1900,66,1223,Schweiz,Männlich
1900,66,305,Ausland,Männlich
1950,66,32,Schweiz,Weiblich
1950,66,17,Ausland,Weiblich
1950,66,42,Schweiz,Männlich
1950,66,32,Ausland,Männlich
2017,66,21,Schweiz,Weiblich
2017,66,10,Ausland,Weiblich
2017,66,25,Schweiz,Männlich
2017,66,11,Ausland,Männlich
1900,67,1375,Schweiz,Weiblich
1900,67,229,Ausland,Weiblich
1900,67,1108,Schweiz,Männlich
1900,67,267,Ausland,Männlich
1950,67,27,Schweiz,Weiblich
1950,67,13,Ausland,Weiblich
1950,67,34,Schweiz,Männlich
1950,67,15,Ausland,Männlich
2017,67,14,Schweiz,Weiblich
2017,67,16,Ausland,Weiblich
2017,67,18,Schweiz,Männlich
2017,67,8,Ausland,Männlich
1900,68,1368,Schweiz,Weiblich
1900,68,214,Ausland,Weiblich
1900,68,1102,Schweiz,Männlich
1900,68,282,Ausland,Männlich
1950,68,16,Schweiz,Weiblich
1950,68,9,Ausland,Weiblich
1950,68,29,Schweiz,Männlich
1950,68,15,Ausland,Männlich
2017,68,12,Schweiz,Weiblich
2017,68,7,Ausland,Weiblich
2017,68,20,Schweiz,Männlich
2017,68,9,Ausland,Männlich
1900,69,1409,Schweiz,Weiblich
1900,69,231,Ausland,Weiblich
1900,69,1144,Schweiz,Männlich
1900,69,250,Ausland,Männlich
1950,69,24,Schweiz,Weiblich
1950,69,14,Ausland,Weiblich
1950,69,29,Schweiz,Männlich
1950,69,11,Ausland,Männlich
2017,69,12,Schweiz,Weiblich
2017,69,6,Ausland,Weiblich
2017,69,20,Schweiz,Männlich
2017,69,6,Ausland,Männlich
1900,70,1355,Schweiz,Weiblich
1900,70,237,Ausland,Weiblich
1900,70,1105,Schweiz,Männlich
1900,70,240,Ausland,Männlich
1950,70,15,Schweiz,Weiblich
1950,70,16,Ausland,Weiblich
1950,70,18,Schweiz,Männlich
1950,70,8,Ausland,Männlich
2017,70,9,Schweiz,Weiblich
2017,70,7,Ausland,Weiblich
2017,70,9,Schweiz,Männlich
2017,70,5,Ausland,Männlich
1900,71,1376,Schweiz,Weiblich
1900,71,189,Ausland,Weiblich
1900,71,1114,Schweiz,Männlich
1900,71,207,Ausland,Männlich
1950,71,12,Schweiz,Weiblich
1950,71,14,Ausland,Weiblich
1950,71,21,Schweiz,Männlich
1950,71,6,Ausland,Männlich
2017,71,15,Schweiz,Weiblich
2017,71,4,Ausland,Weiblich
2017,71,22,Schweiz,Männlich
2017,71,0,Ausland,Männlich
1900,72,1387,Schweiz,Weiblich
1900,72,194,Ausland,Weiblich
1900,72,1016,Schweiz,Männlich
1900,72,226,Ausland,Männlich
1950,72,17,Schweiz,Weiblich
1950,72,6,Ausland,Weiblich
1950,72,14,Schweiz,Männlich
1950,72,10,Ausland,Männlich
2017,72,15,Schweiz,Weiblich
2017,72,5,Ausland,Weiblich
2017,72,16,Schweiz,Männlich
2017,72,5,Ausland,Männlich
1900,73,1309,Schweiz,Weiblich
1900,73,185,Ausland,Weiblich
1900,73,985,Schweiz,Männlich
1900,73,220,Ausland,Männlich
1950,73,11,Schweiz,Weiblich
1950,73,6,Ausland,Weiblich
1950,73,13,Schweiz,Männlich
1950,73,8,Ausland,Männlich
2017,73,9,Schweiz,Weiblich
2017,73,5,Ausland,Weiblich
2017,73,10,Schweiz,Männlich
2017,73,2,Ausland,Männlich
1900,74,1277,Schweiz,Weiblich
1900,74,209,Ausland,Weiblich
1900,74,937,Schweiz,Männlich
1900,74,222,Ausland,Männlich
1950,74,18,Schweiz,Weiblich
1950,74,1,Ausland,Weiblich
1950,74,15,Schweiz,Männlich
1950,74,10,Ausland,Männlich
2017,74,15,Schweiz,Weiblich
2017,74,3,Ausland,Weiblich
2017,74,11,Schweiz,Männlich
2017,74,4,Ausland,Männlich
1900,75,1222,Schweiz,Weiblich
1900,75,230,Ausland,Weiblich
1900,75,849,Schweiz,Männlich
1900,75,206,Ausland,Männlich
1950,75,8,Schweiz,Weiblich
1950,75,7,Ausland,Weiblich
1950,75,9,Schweiz,Männlich
1950,75,5,Ausland,Männlich
2017,75,6,Schweiz,Weiblich
2017,75,1,Ausland,Weiblich
2017,75,12,Schweiz,Männlich
2017,75,2,Ausland,Männlich
1900,76,1059,Schweiz,Weiblich
1900,76,221,Ausland,Weiblich
1900,76,719,Schweiz,Männlich
1900,76,214,Ausland,Männlich
1950,76,12,Schweiz,Weiblich
1950,76,4,Ausland,Weiblich
1950,76,10,Schweiz,Männlich
1950,76,6,Ausland,Männlich
2017,76,7,Schweiz,Weiblich
2017,76,1,Ausland,Weiblich
2017,76,4,Schweiz,Männlich
2017,76,2,Ausland,Männlich
1900,77,1073,Schweiz,Weiblich
1900,77,210,Ausland,Weiblich
1900,77,714,Schweiz,Männlich
1900,77,187,Ausland,Männlich
1950,77,11,Schweiz,Weiblich
1950,77,3,Ausland,Weiblich
1950,77,9,Schweiz,Männlich
1950,77,3,Ausland,Männlich
2017,77,5,Schweiz,Weiblich
2017,77,1,Ausland,Weiblich
2017,77,12,Schweiz,Männlich
2017,77,2,Ausland,Männlich
1900,78,1084,Schweiz,Weiblich
1900,78,188,Ausland,Weiblich
1900,78,661,Schweiz,Männlich
1900,78,162,Ausland,Männlich
1950,78,10,Schweiz,Weiblich
1950,78,6,Ausland,Weiblich
1950,78,13,Schweiz,Männlich
1950,78,4,Ausland,Männlich
2017,78,6,Schweiz,Weiblich
2017,78,2,Ausland,Weiblich
2017,78,4,Schweiz,Männlich
2017,78,0,Ausland,Männlich
1900,79,1075,Schweiz,Weiblich
1900,79,185,Ausland,Weiblich
1900,79,654,Schweiz,Männlich
1900,79,166,Ausland,Männlich
1950,79,10,Schweiz,Weiblich
1950,79,3,Ausland,Weiblich
1950,79,6,Schweiz,Männlich
1950,79,5,Ausland,Männlich
2017,79,13,Schweiz,Weiblich
2017,79,4,Ausland,Weiblich
2017,79,5,Schweiz,Männlich
2017,79,2,Ausland,Männlich
1900,80,1089,Schweiz,Weiblich
1900,80,152,Ausland,Weiblich
1900,80,688,Schweiz,Männlich
1900,80,140,Ausland,Männlich
1950,80,14,Schweiz,Weiblich
1950,80,5,Ausland,Weiblich
1950,80,7,Schweiz,Männlich
1950,80,7,Ausland,Männlich
2017,80,11,Schweiz,Weiblich
2017,80,1,Ausland,Weiblich
2017,80,12,Schweiz,Männlich
2017,80,1,Ausland,Männlich
1900,81,1118,Schweiz,Weiblich
1900,81,147,Ausland,Weiblich
1900,81,625,Schweiz,Männlich
1900,81,123,Ausland,Männlich
1950,81,11,Schweiz,Weiblich
1950,81,4,Ausland,Weiblich
1950,81,3,Schweiz,Männlich
1950,81,4,Ausland,Männlich
2017,81,1,Schweiz,Weiblich
2017,81,1,Ausland,Weiblich
2017,81,5,Schweiz,Männlich
2017,81,0,Ausland,Männlich
1900,82,1058,Schweiz,Weiblich
1900,82,124,Ausland,Weiblich
1900,82,660,Schweiz,Männlich
1900,82,117,Ausland,Männlich
1950,82,15,Schweiz,Weiblich
1950,82,6,Ausland,Weiblich
1950,82,7,Schweiz,Männlich
1950,82,6,Ausland,Männlich
2017,82,7,Schweiz,Weiblich
2017,82,3,Ausland,Weiblich
2017,82,2,Schweiz,Männlich
2017,82,0,Ausland,Männlich
1900,83,1104,Schweiz,Weiblich
1900,83,98,Ausland,Weiblich
1900,83,556,Schweiz,Männlich
1900,83,82,Ausland,Männlich
1950,83,8,Schweiz,Weiblich
1950,83,2,Ausland,Weiblich
1950,83,3,Schweiz,Männlich
1950,83,2,Ausland,Männlich
2017,83,4,Schweiz,Weiblich
2017,83,2,Ausland,Weiblich
2017,83,3,Schweiz,Männlich
2017,83,0,Ausland,Männlich
1900,84,1009,Schweiz,Weiblich
1900,84,91,Ausland,Weiblich
1900,84,513,Schweiz,Männlich
1900,84,71,Ausland,Männlich
1950,84,21,Schweiz,Weiblich
1950,84,5,Ausland,Weiblich
1950,84,8,Schweiz,Männlich
1950,84,2,Ausland,Männlich
2017,84,9,Schweiz,Weiblich
2017,84,1,Ausland,Weiblich
2017,84,4,Schweiz,Männlich
2017,84,0,Ausland,Männlich
1900,85,1040,Schweiz,Weiblich
1900,85,72,Ausland,Weiblich
1900,85,483,Schweiz,Männlich
1900,85,65,Ausland,Männlich
1950,85,10,Schweiz,Weiblich
1950,85,2,Ausland,Weiblich
1950,85,4,Schweiz,Männlich
1950,85,3,Ausland,Männlich
2017,85,8,Schweiz,Weiblich
2017,85,0,Ausland,Weiblich
2017,85,4,Schweiz,Männlich
2017,85,1,Ausland,Männlich
1900,86,1020,Schweiz,Weiblich
1900,86,82,Ausland,Weiblich
1900,86,476,Schweiz,Männlich
1900,86,49,Ausland,Männlich
1950,86,14,Schweiz,Weiblich
1950,86,0,Ausland,Weiblich
1950,86,7,Schweiz,Männlich
1950,86,1,Ausland,Männlich
2017,86,8,Schweiz,Weiblich
2017,86,0,Ausland,Weiblich
2017,86,4,Schweiz,Männlich
2017,86,2,Ausland,Männlich
1900,87,934,Schweiz,Weiblich
1900,87,71,Ausland,Weiblich
1900,87,422,Schweiz,Männlich
1900,87,38,Ausland,Männlich
1950,87,14,Schweiz,Weiblich
1950,87,3,Ausland,Weiblich
1950,87,4,Schweiz,Männlich
1950,87,2,Ausland,Männlich
2017,87,11,Schweiz,Weiblich
2017,87,2,Ausland,Weiblich
2017,87,1,Schweiz,Männlich
2017,87,0,Ausland,Männlich
1900,88,808,Schweiz,Weiblich
1900,88,52,Ausland,Weiblich
1900,88,371,Schweiz,Männlich
1900,88,24,Ausland,Männlich
1950,88,11,Schweiz,Weiblich
1950,88,1,Ausland,Weiblich
1950,88,7,Schweiz,Männlich
1950,88,1,Ausland,Männlich
2017,88,5,Schweiz,Weiblich
2017,88,0,Ausland,Weiblich
2017,88,3,Schweiz,Männlich
2017,88,1,Ausland,Männlich
1900,89,723,Schweiz,Weiblich
1900,89,47,Ausland,Weiblich
1900,89,320,Schweiz,Männlich
1900,89,27,Ausland,Männlich
1950,89,11,Schweiz,Weiblich
1950,89,2,Ausland,Weiblich
1950,89,4,Schweiz,Männlich
1950,89,1,Ausland,Männlich
2017,89,5,Schweiz,Weiblich
2017,89,1,Ausland,Weiblich
2017,89,2,Schweiz,Männlich
2017,89,0,Ausland,Männlich
1900,90,663,Schweiz,Weiblich
1900,90,42,Ausland,Weiblich
1900,90,262,Schweiz,Männlich
1900,90,16,Ausland,Männlich
1950,90,5,Schweiz,Weiblich
1950,90,1,Ausland,Weiblich
1950,90,1,Schweiz,Männlich
1950,90,1,Ausland,Männlich
2017,90,9,Schweiz,Weiblich
2017,90,1,Ausland,Weiblich
2017,90,3,Schweiz,Männlich
2017,90,0,Ausland,Männlich
1900,91,570,Schweiz,Weiblich
1900,91,33,Ausland,Weiblich
1900,91,218,Schweiz,Männlich
1900,91,15,Ausland,Männlich
1950,91,6,Schweiz,Weiblich
1950,91,2,Ausland,Weiblich
1950,91,7,Schweiz,Männlich
1950,91,0,Ausland,Männlich
2017,91,2,Schweiz,Weiblich
2017,91,1,Ausland,Weiblich
2017,91,0,Schweiz,Männlich
2017,91,0,Ausland,Männlich
1900,92,443,Schweiz,Weiblich
1900,92,23,Ausland,Weiblich
1900,92,195,Schweiz,Männlich
1900,92,6,Ausland,Männlich
1950,92,11,Schweiz,Weiblich
1950,92,2,Ausland,Weiblich
1950,92,1,Schweiz,Männlich
1950,92,0,Ausland,Männlich
2017,92,7,Schweiz,Weiblich
2017,92,0,Ausland,Weiblich
2017,92,1,Schweiz,Männlich
2017,92,0,Ausland,Männlich
1900,93,363,Schweiz,Weiblich
1900,93,14,Ausland,Weiblich
1900,93,130,Schweiz,Männlich
1900,93,6,Ausland,Männlich
1950,93,7,Schweiz,Weiblich
1950,93,0,Ausland,Weiblich
1950,93,3,Schweiz,Männlich
1950,93,0,Ausland,Männlich
2017,93,2,Schweiz,Weiblich
2017,93,1,Ausland,Weiblich
2017,93,2,Schweiz,Männlich
2017,93,0,Ausland,Männlich
1900,94,303,Schweiz,Weiblich
1900,94,17,Ausland,Weiblich
1900,94,100,Schweiz,Männlich
1900,94,6,Ausland,Männlich
1950,94,3,Schweiz,Weiblich
1950,94,0,Ausland,Weiblich
1950,94,3,Schweiz,Männlich
1950,94,0,Ausland,Männlich
2017,94,4,Schweiz,Weiblich
2017,94,0,Ausland,Weiblich
2017,94,3,Schweiz,Männlich
2017,94,0,Ausland,Männlich
1900,95,230,Schweiz,Weiblich
1900,95,9,Ausland,Weiblich
1900,95,77,Schweiz,Männlich
1900,95,4,Ausland,Männlich
1950,95,3,Schweiz,Weiblich
1950,95,0,Ausland,Weiblich
1950,95,2,Schweiz,Männlich
1950,95,0,Ausland,Männlich
2017,95,2,Schweiz,Weiblich
2017,95,0,Ausland,Weiblich
2017,95,0,Schweiz,Männlich
2017,95,0,Ausland,Männlich
1900,96,175,Schweiz,Weiblich
1900,96,8,Ausland,Weiblich
1900,96,48,Schweiz,Männlich
1900,96,4,Ausland,Männlich
1950,96,4,Schweiz,Weiblich
1950,96,0,Ausland,Weiblich
1950,96,0,Schweiz,Männlich
1950,96,0,Ausland,Männlich
2017,96,4,Schweiz,Weiblich
2017,96,0,Ausland,Weiblich
2017,96,0,Schweiz,Männlich
2017,96,0,Ausland,Männlich
1900,97,103,Schweiz,Weiblich
1900,97,4,Ausland,Weiblich
1900,97,27,Schweiz,Männlich
1900,97,2,Ausland,Männlich
1950,97,2,Schweiz,Weiblich
1950,97,1,Ausland,Weiblich
1950,97,1,Schweiz,Männlich
1950,97,0,Ausland,Männlich
2017,97,3,Schweiz,Weiblich
2017,97,0,Ausland,Weiblich
2017,97,0,Schweiz,Männlich
2017,97,0,Ausland,Männlich
1900,98,66,Schweiz,Weiblich
1900,98,2,Ausland,Weiblich
1900,98,23,Schweiz,Männlich
1900,98,0,Ausland,Männlich
1950,98,0,Schweiz,Weiblich
1950,98,0,Ausland,Weiblich
1950,98,0,Schweiz,Männlich
1950,98,0,Ausland,Männlich
2017,98,3,Schweiz,Weiblich
2017,98,0,Ausland,Weiblich
2017,98,0,Schweiz,Männlich
2017,98,0,Ausland,Männlich
1900,99,54,Schweiz,Weiblich
1900,99,2,Ausland,Weiblich
1900,99,12,Schweiz,Männlich
1900,99,2,Ausland,Männlich
1950,99,0,Schweiz,Weiblich
1950,99,0,Ausland,Weiblich
1950,99,0,Schweiz,Männlich
1950,99,0,Ausland,Männlich
2017,99,0,Schweiz,Weiblich
2017,99,0,Ausland,Weiblich
2017,99,0,Schweiz,Männlich
2017,99,0,Ausland,Männlich
1900,100,28,Schweiz,Weiblich
1900,100,1,Ausland,Weiblich
1900,100,4,Schweiz,Männlich
1900,100,0,Ausland,Männlich
1950,100,2,Schweiz,Weiblich
1950,100,0,Ausland,Weiblich
1950,100,0,Schweiz,Männlich
1950,100,0,Ausland,Männlich
2017,100,1,Schweiz,Weiblich
2017,100,0,Ausland,Weiblich
2017,100,0,Schweiz,Männlich
2017,100,0,Ausland,Männlich
1900,101,21,Schweiz,Weiblich
1900,101,0,Ausland,Weiblich
1900,101,5,Schweiz,Männlich
1900,101,0,Ausland,Männlich
1950,101,0,Schweiz,Weiblich
1950,101,0,Ausland,Weiblich
1950,101,0,Schweiz,Männlich
1950,101,0,Ausland,Männlich
2017,101,0,Schweiz,Weiblich
2017,101,0,Ausland,Weiblich
2017,101,0,Schweiz,Männlich
2017,101,0,Ausland,Männlich
1900,102,18,Schweiz,Weiblich
1900,102,1,Ausland,Weiblich
1900,102,2,Schweiz,Männlich
1900,102,0,Ausland,Männlich
1950,102,0,Schweiz,Weiblich
1950,102,0,Ausland,Weiblich
1950,102,0,Schweiz,Männlich
1950,102,0,Ausland,Männlich
2017,102,0,Schweiz,Weiblich
2017,102,0,Ausland,Weiblich
2017,102,0,Schweiz,Männlich
2017,102,0,Ausland,Männlich
1900,103,3,Schweiz,Weiblich
1900,103,0,Ausland,Weiblich
1900,103,2,Schweiz,Männlich
1900,103,0,Ausland,Männlich
1950,103,0,Schweiz,Weiblich
1950,103,0,Ausland,Weiblich
1950,103,0,Schweiz,Männlich
1950,103,0,Ausland,Männlich
2017,103,0,Schweiz,Weiblich
2017,103,0,Ausland,Weiblich
2017,103,0,Schweiz,Männlich
2017,103,1,Ausland,Männlich
1900,104,5,Schweiz,Weiblich
1900,104,0,Ausland,Weiblich
1900,104,0,Schweiz,Männlich
1900,104,0,Ausland,Männlich
1950,104,0,Schweiz,Weiblich
1950,104,0,Ausland,Weiblich
1950,104,0,Schweiz,Männlich
1950,104,0,Ausland,Männlich
2017,104,0,Schweiz,Weiblich
2017,104,0,Ausland,Weiblich
2017,104,0,Schweiz,Männlich
2017,104,0,Ausland,Männlich
1900,105,4,Schweiz,Weiblich
1900,105,0,Ausland,Weiblich
1900,105,0,Schweiz,Männlich
1900,105,0,Ausland,Männlich
1950,105,0,Schweiz,Weiblich
1950,105,0,Ausland,Weiblich
1950,105,0,Schweiz,Männlich
1950,105,0,Ausland,Männlich
2017,105,0,Schweiz,Weiblich
2017,105,0,Ausland,Weiblich
2017,105,0,Schweiz,Männlich
2017,105,0,Ausland,Männlich
1900,106,2,Schweiz,Weiblich
1900,106,0,Ausland,Weiblich
1900,106,0,Schweiz,Männlich
1900,106,0,Ausland,Männlich
1950,106,0,Schweiz,Weiblich
1950,106,0,Ausland,Weiblich
1950,106,0,Schweiz,Männlich
1950,106,0,Ausland,Männlich
2017,106,0,Schweiz,Weiblich
2017,106,0,Ausland,Weiblich
2017,106,0,Schweiz,Männlich
2017,106,0,Ausland,Männlich
1900,107,0,Schweiz,Weiblich
1900,107,0,Ausland,Weiblich
1900,107,0,Schweiz,Männlich
1900,107,0,Ausland,Männlich
1950,107,0,Schweiz,Weiblich
1950,107,0,Ausland,Weiblich
1950,107,0,Schweiz,Männlich
1950,107,0,Ausland,Männlich
2017,107,0,Schweiz,Weiblich
2017,107,0,Ausland,Weiblich
2017,107,0,Schweiz,Männlich
2017,107,0,Ausland,Männlich
1900,108,2,Schweiz,Weiblich
1900,108,0,Ausland,Weiblich
1900,108,0,Schweiz,Männlich
1900,108,0,Ausland,Männlich
1950,108,0,Schweiz,Weiblich
1950,108,0,Ausland,Weiblich
1950,108,0,Schweiz,Männlich
1950,108,0,Ausland,Männlich
2017,108,0,Schweiz,Weiblich
2017,108,0,Ausland,Weiblich
2017,108,0,Schweiz,Männlich
2017,108,0,Ausland,Männlich
1900,109,0,Schweiz,Weiblich
1900,109,0,Ausland,Weiblich
1900,109,0,Schweiz,Männlich
1900,109,0,Ausland,Männlich
1950,109,0,Schweiz,Weiblich
1950,109,0,Ausland,Weiblich
1950,109,0,Schweiz,Männlich
1950,109,0,Ausland,Männlich
2017,109,0,Schweiz,Weiblich
2017,109,0,Ausland,Weiblich
2017,109,0,Schweiz,Männlich
2017,109,0,Ausland,Männlich
1900,110,0,Schweiz,Weiblich
1900,110,0,Ausland,Weiblich
1900,110,0,Schweiz,Männlich
1900,110,0,Ausland,Männlich
1950,110,0,Schweiz,Weiblich
1950,110,0,Ausland,Weiblich
1950,110,0,Schweiz,Männlich
1950,110,0,Ausland,Männlich
2017,110,0,Schweiz,Weiblich
2017,110,0,Ausland,Weiblich
2017,110,0,Schweiz,Männlich
2017,110,0,Ausland,Männlich
